Claim ID,Customer,Month,WeekOfMonth,DayOfWeek,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Fault,FraudFound_P,RepNumber,Days_Policy_Accident,Days_Policy_Claim,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,BasePolicy,Vehicle Class,AccidentArea,Age,Product Name,VehiclePrice,DriverRating,AgeOfVehicle
CLM10000013,DP39365,Jan,3,Friday,Friday,Jan,3,Policy Holder,0,11,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,28,Sedan - Liability,more than 69000,1,7 years
CLM10000014,SJ95423,Jan,5,Friday,Wednesday,Feb,1,Third Party,0,12,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Rural,0,Sedan - Collision,more than 69000,3,new
CLM10000015,IL66569,Jan,5,Monday,Thursday,Feb,1,Policy Holder,0,3,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,61,Sedan - Liability,more than 69000,1,more than 7
CLM10000016,BW63560,Aug,4,Tuesday,Monday,Aug,5,Policy Holder,0,16,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,38,Sedan - Liability,more than 69000,1,6 years
CLM10000017,FV94802,Apr,4,Thursday,Wednesday,May,1,Policy Holder,0,15,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,41,Sedan - All Perils,more than 69000,4,7 years
CLM10000018,OE15005,Jul,5,Sunday,Wednesday,Aug,1,Third Party,0,6,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,SUV,Urban,28,Sedan - Collision,20000 to 29000,1,7 years
CLM10000019,WC83389,May,4,Thursday,Monday,May,5,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,32,Sedan - Liability,20000 to 29000,1,7 years
CLM10000020,FL50705,Apr,4,Monday,Tuesday,May,1,Third Party,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Urban,30,Sedan - Liability,more than 69000,2,6 years
CLM10000021,ZK25313,Apr,2,Friday,Tuesday,May,1,Policy Holder,0,3,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,40,Sedan - Liability,20000 to 29000,1,more than 7
CLM10000022,SV62436,Jan,2,Saturday,Monday,Jan,2,Policy Holder,0,13,more than 30,more than 30,No,No,External,none,4 to 8 years,Collision,Four-Door Car,Urban,47,Sedan - Collision,20000 to 29000,2,more than 7
CLM10000023,YH23384,Aug,3,Sunday,Thursday,Aug,5,Policy Holder,0,8,more than 30,more than 30,No,No,External,1 to 2,no change,Liability,Four-Door Car,Urban,63,Sedan - Liability,20000 to 29000,3,more than 7
CLM10000024,TZ98966,Jun,3,Saturday,Tuesday,Jun,3,Third Party,0,5,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Four-Door Car,Urban,31,Sedan - Liability,30000 to 39000,3,6 years
CLM10000025,HM55802,Sep,3,Friday,Friday,Sep,3,Policy Holder,0,12,more than 30,more than 30,Yes,No,External,none,no change,All Perils,Four-Door Car,Urban,45,Sedan - All Perils,more than 69000,3,more than 7
CLM10000026,FS42516,Mar,3,Monday,Tuesday,Apr,1,Policy Holder,0,16,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,60,Sedan - Liability,20000 to 29000,4,more than 7
CLM10000027,US89481,Mar,3,Thursday,Thursday,Jun,4,Policy Holder,0,1,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,21,Sedan - Collision,30000 to 39000,2,5 years
CLM10000028,HO30839,May,3,Sunday,Friday,May,4,Policy Holder,0,1,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,SUV,Urban,42,Sedan - All Perils,30000 to 39000,3,7 years
CLM10000029,GE62437,Jul,1,Saturday,Tuesday,Sep,4,Policy Holder,1,9,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,0,Sedan - All Perils,more than 69000,1,new
CLM10000030,EJ77678,May,3,Monday,Wednesday,May,4,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,39,Sedan - Collision,20000 to 29000,3,7 years
CLM10000031,SV85652,Mar,2,Friday,Saturday,Mar,2,Policy Holder,0,2,more than 30,more than 30,No,No,Internal,none,no change,Collision,Four-Door Car,Urban,47,Sedan - Collision,30000 to 39000,1,more than 7
CLM10000032,UL64533,Mar,1,Sunday,Tuesday,Mar,2,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Collision,Luxury SUV,Urban,0,Sedan - Collision,more than 69000,1,new
CLM10000033,PF41800,Mar,2,Wednesday,Wednesday,Mar,2,Policy Holder,0,2,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Urban,42,Sedan - Collision,20000 to 29000,3,7 years
CLM10000034,AO98601,Jan,4,Monday,Tuesday,Jan,4,Third Party,0,2,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Two-Door Car,Urban,30,Sedan - Collision,20000 to 29000,4,6 years
CLM10000035,SK67821,Jan,4,Tuesday,Wednesday,Jan,4,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,42,Utility - All Perils,more than 69000,1,7 years
CLM10000036,YV55495,Oct,2,Wednesday,Thursday,Oct,2,Third Party,0,5,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Urban,34,Sedan - Liability,20000 to 29000,3,7 years
CLM10000037,KY38074,Oct,2,Tuesday,Thursday,Oct,3,Third Party,0,11,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,30,Sedan - Collision,20000 to 29000,4,6 years
CLM10000038,DM79012,Sep,2,Friday,Friday,Sep,3,Policy Holder,0,4,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,27,Sedan - Collision,30000 to 39000,2,7 years
CLM10000039,CM61827,Nov,4,Tuesday,Thursday,Nov,4,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,55,Sport - Collision,more than 69000,1,more than 7
CLM10000040,WC35801,Nov,4,Thursday,Tuesday,Jan,1,Policy Holder,0,1,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,35,Sedan - Collision,20000 to 29000,3,7 years
CLM10000041,QG25316,Mar,4,Wednesday,Wednesday,Apr,1,Policy Holder,0,11,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,35,Sedan - Collision,20000 to 29000,1,6 years
CLM10000042,MB98372,Mar,3,Friday,Wednesday,Mar,4,Policy Holder,0,15,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Two-Door Car,Urban,44,Sedan - All Perils,20000 to 29000,1,7 years
CLM10000043,IL19217,Jul,1,Monday,Monday,Jul,1,Policy Holder,0,12,more than 30,more than 30,No,No,External,none,4 to 8 years,Liability,Four-Door Car,Urban,42,Sedan - Liability,20000 to 29000,4,4 years
CLM10000044,SR38658,Jan,3,Tuesday,Monday,Jan,4,Policy Holder,0,5,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Sports Car,Urban,41,Sedan - Collision,20000 to 29000,2,7 years
CLM10000045,DH41343,Jan,3,Wednesday,Wednesday,Jan,4,Third Party,0,16,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,72,Sedan - Collision,20000 to 29000,1,more than 7
CLM10000046,HG65722,Feb,2,Wednesday,Thursday,Feb,2,Third Party,0,8,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,29,Sedan - All Perils,less than 20000,3,5 years
CLM10000047,BU27331,Feb,2,Thursday,Monday,Feb,3,Third Party,0,9,more than 30,more than 30,No,No,Internal,none,no change,Collision,Four-Door Car,Urban,32,Sedan - Collision,30000 to 39000,4,6 years
CLM10000048,XM45289,Nov,4,Thursday,Friday,Nov,4,Policy Holder,0,13,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,37,Sedan - Liability,30000 to 39000,3,5 years
CLM10000049,KP34198,Apr,3,Thursday,Thursday,May,1,Policy Holder,0,10,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Four-Door Car,Urban,37,Sedan - Liability,more than 69000,1,6 years
CLM10000050,SH90947,Apr,3,Friday,Tuesday,Apr,3,Policy Holder,0,9,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Urban,59,Sedan - Collision,20000 to 29000,4,more than 7
CLM10000051,WE95729,May,4,Friday,Friday,May,4,Policy Holder,0,14,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Urban,49,Sedan - Liability,30000 to 39000,2,more than 7
CLM10000052,PY51963,Jun,4,Wednesday,Friday,Jun,4,Policy Holder,0,4,more than 30,more than 30,No,No,External,3 to 5,2 to 3 years,Liability,SUV,Urban,27,Sedan - Liability,20000 to 29000,3,6 years
CLM10000053,RB69909,Jul,3,Sunday,Wednesday,Jan,4,Policy Holder,1,4,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Rural,21,Sport - Collision,more than 69000,4,4 years
CLM10000054,XR95069,Jul,4,Saturday,Wednesday,Aug,2,Policy Holder,1,13,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Urban,50,Sedan - Collision,20000 to 29000,1,more than 7
CLM10000055,FR46645,Jun,4,Tuesday,Tuesday,Jun,4,Policy Holder,0,8,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,45,Sedan - Collision,30000 to 39000,1,7 years
CLM10000056,SY17488,Dec,3,Monday,Wednesday,Dec,3,Third Party,0,7,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Urban,49,Sedan - All Perils,20000 to 29000,4,more than 7
CLM10000057,AP67935,Jun,4,Friday,Thursday,Jun,5,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,30,Sedan - All Perils,20000 to 29000,4,6 years
CLM10000058,FS37417,Nov,2,Friday,Monday,Nov,2,Policy Holder,0,11,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,37,Sedan - Collision,more than 69000,3,7 years
CLM10000059,ML29312,May,1,Monday,Wednesday,May,4,Policy Holder,0,15,more than 30,more than 30,No,No,External,none,no change,Liability,SUV,Rural,0,Sedan - Liability,more than 69000,4,new
CLM10000060,UB61619,May,1,Wednesday,Monday,May,2,Policy Holder,0,4,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Four-Door Car,Urban,27,Sedan - Collision,20000 to 29000,4,6 years
CLM10000061,CD86811,Nov,1,Monday,Monday,Nov,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,30,Sedan - All Perils,30000 to 39000,4,5 years
CLM10000062,RU83859,Sep,2,Tuesday,Friday,Jan,4,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,49,Utility - Collision,40000 to 59000,4,more than 7
CLM10000063,FG63582,Nov,4,Sunday,Friday,Jan,3,Third Party,0,3,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,0,Sedan - All Perils,more than 69000,2,new
CLM10000064,NN71951,Feb,5,Monday,Tuesday,Mar,1,Policy Holder,0,13,more than 30,more than 30,No,No,External,more than 5,4 to 8 years,Liability,SUV,Urban,26,Sedan - Liability,20000 to 29000,3,7 years
CLM10000065,WB37082,Dec,1,Friday,Tuesday,Dec,2,Policy Holder,0,1,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,48,Sedan - Collision,20000 to 29000,1,7 years
CLM10000066,SM52139,Dec,4,Friday,Monday,Jan,2,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,31,Sedan - All Perils,20000 to 29000,3,7 years
CLM10000067,FL82372,Mar,3,Friday,Friday,Mar,3,Third Party,0,16,more than 30,more than 30,No,No,External,more than 5,no change,Collision,SUV,Urban,40,Sedan - Collision,more than 69000,2,7 years
CLM10000068,DP45816,Aug,4,Thursday,Monday,Aug,5,Policy Holder,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Two-Door Car,Urban,65,Sedan - Liability,30000 to 39000,1,more than 7
CLM10000069,GW33762,Jan,1,Sunday,Tuesday,Jan,1,Policy Holder,0,5,more than 30,more than 30,No,No,External,none,no change,Collision,Two-Door Car,Urban,64,Sedan - Collision,20000 to 29000,1,more than 7
CLM10000070,RZ33670,Jan,1,Sunday,Wednesday,Jan,1,Policy Holder,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Urban,55,Sedan - Liability,20000 to 29000,2,7 years
CLM10000071,PY70169,Jan,1,Sunday,Wednesday,Jan,1,Policy Holder,0,16,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,SUV,Urban,44,Sedan - Collision,20000 to 29000,1,7 years
CLM10000072,MO91628,Jan,1,Tuesday,Thursday,Jan,1,Policy Holder,0,9,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Two-Door Car,Urban,27,Sedan - Collision,20000 to 29000,3,6 years
CLM10000073,HW87852,Sep,4,Thursday,Monday,Jan,5,Third Party,0,5,15 to 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,28,Sedan - Collision,20000 to 29000,3,5 years
CLM10000074,HB20453,Jan,1,Monday,Tuesday,Jan,1,Third Party,0,7,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Sports Car,Urban,47,Sedan - Collision,20000 to 29000,2,more than 7
CLM10000075,BN87372,Apr,5,Saturday,Tuesday,May,1,Third Party,0,12,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,60,Sedan - Collision,more than 69000,3,7 years
CLM10000076,YX23800,Aug,1,Saturday,Wednesday,Aug,4,Third Party,0,9,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,33,Sedan - Collision,30000 to 39000,4,6 years
CLM10000077,DZ87709,Oct,4,Tuesday,Monday,Jan,1,Third Party,0,1,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,27,Sedan - All Perils,20000 to 29000,3,6 years
CLM10000078,XW13033,Feb,2,Friday,Tuesday,Feb,3,Third Party,0,12,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,47,Sport - Collision,more than 69000,3,more than 7
CLM10000079,LN31673,Feb,2,Friday,Tuesday,Feb,3,Policy Holder,0,16,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Four-Door Car,Rural,29,Sedan - Liability,30000 to 39000,1,5 years
CLM10000080,OM82309,Feb,4,Saturday,Friday,Mar,1,Third Party,0,10,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Luxury Car,Urban,33,Sedan - Collision,30000 to 39000,1,7 years
CLM10000081,ZU35962,Jan,3,Wednesday,Wednesday,Jan,3,Policy Holder,0,13,more than 30,more than 30,No,No,External,none,no change,Liability,Two-Door Car,Urban,38,Sedan - Liability,20000 to 29000,4,6 years
CLM10000082,VH85817,Jan,3,Thursday,Friday,Jan,4,Third Party,0,6,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,37,Sedan - Liability,20000 to 29000,2,7 years
CLM10000083,DT85712,Dec,2,Friday,Thursday,Apr,3,Third Party,0,13,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,36,Sedan - All Perils,more than 69000,4,7 years
CLM10000084,YJ88573,Nov,5,Tuesday,Friday,Feb,1,Policy Holder,0,9,more than 30,more than 30,No,No,External,1 to 2,no change,Liability,Four-Door Car,Urban,44,Sedan - Liability,20000 to 29000,4,6 years
CLM10000085,SQ19467,Dec,1,Wednesday,Monday,Jan,1,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,4 to 8 years,Liability,Four-Door Car,Urban,0,Sedan - Liability,more than 69000,2,new
CLM10000086,HF88410,Dec,2,Tuesday,Tuesday,Mar,1,Policy Holder,0,4,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Rural,27,Utility - Liability,more than 69000,4,6 years
CLM10000087,ET79815,May,4,Tuesday,Wednesday,May,4,Policy Holder,0,14,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,27,Sedan - Collision,20000 to 29000,3,6 years
CLM10000088,QC35222,May,4,Sunday,Wednesday,May,4,Third Party,0,1,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Four-Door Car,Urban,39,Sedan - All Perils,20000 to 29000,2,4 years
CLM10000089,CJ15590,Oct,5,Saturday,Monday,Oct,5,Third Party,0,13,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Urban,74,Sedan - All Perils,30000 to 39000,4,7 years
CLM10000090,OI48267,Oct,4,Sunday,Monday,Oct,4,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,23,Sedan - Liability,20000 to 29000,2,4 years
CLM10000091,JY67916,Oct,4,Sunday,Tuesday,Oct,4,Third Party,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,25,Sport - Collision,more than 69000,1,6 years
CLM10000092,OE75231,Jan,2,Wednesday,Wednesday,Jan,2,Policy Holder,0,13,more than 30,more than 30,No,No,External,3 to 5,1 year,Liability,Two-Door Car,Urban,38,Sedan - Liability,20000 to 29000,2,7 years
CLM10000093,CZ33664,Jan,2,Thursday,Monday,Jan,4,Policy Holder,0,16,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,41,Sedan - All Perils,30000 to 39000,1,7 years
CLM10000094,WK30175,Aug,4,Saturday,Monday,Aug,5,Policy Holder,0,13,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Two-Door Car,Urban,38,Sedan - Collision,20000 to 29000,3,7 years
CLM10000095,ON44465,Nov,2,Thursday,Friday,Jan,3,Policy Holder,1,7,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,Four-Door Car,Urban,34,Sport - Collision,more than 69000,3,7 years
CLM10000096,TV87155,May,2,Tuesday,Thursday,May,2,Third Party,0,15,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,61,Sedan - Collision,30000 to 39000,4,more than 7
CLM10000097,KH48895,Nov,2,Friday,Tuesday,Jan,1,Policy Holder,1,7,more than 30,more than 30,No,No,External,none,no change,Collision,SUV,Urban,38,Sedan - Collision,20000 to 29000,2,7 years
CLM10000098,NZ30757,Jan,3,Thursday,Monday,Jan,4,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,40,Sedan - All Perils,less than 20000,4,7 years
CLM10000099,RI22468,Nov,3,Monday,Wednesday,Jan,4,Third Party,0,12,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,41,Sedan - All Perils,20000 to 29000,4,7 years
CLM100000100,FZ30935,Jan,4,Friday,Monday,Jan,5,Policy Holder,0,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,36,Sedan - All Perils,20000 to 29000,1,7 years
CLM100000101,UG93476,Nov,3,Tuesday,Wednesday,Jan,2,Policy Holder,1,2,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,SUV,Urban,31,Utility - All Perils,more than 69000,1,7 years
CLM100000102,AB96670,Jan,5,Saturday,Monday,Jan,5,Third Party,0,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,35,Sedan - All Perils,20000 to 29000,4,6 years
CLM100000103,XK64261,Jan,4,Friday,Monday,Feb,1,Policy Holder,0,14,more than 30,more than 30,Yes,No,External,3 to 5,no change,All Perils,Two-Door Car,Urban,37,Sedan - All Perils,more than 69000,2,6 years
CLM100000104,EV68375,Jan,1,Thursday,Tuesday,Jan,2,Policy Holder,0,14,more than 30,more than 30,No,No,External,more than 5,no change,All Perils,Four-Door Car,Urban,55,Sedan - All Perils,20000 to 29000,3,more than 7
CLM100000105,UN51653,Jan,1,Tuesday,Thursday,Jan,1,Third Party,0,12,more than 30,more than 30,No,No,External,1 to 2,no change,All Perils,SUV,Urban,31,Sedan - All Perils,20000 to 29000,4,7 years
CLM100000106,TO96662,Dec,3,Friday,Saturday,Dec,3,Policy Holder,0,5,more than 30,more than 30,No,No,External,1 to 2,4 to 8 years,Liability,Four-Door Car,Urban,28,Sedan - Liability,more than 69000,1,7 years
CLM100000107,MR52087,Aug,1,Monday,Thursday,Aug,1,Policy Holder,0,11,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,28,Sedan - Collision,20000 to 29000,2,7 years
CLM100000108,DE75225,Nov,4,Sunday,Thursday,Apr,2,Third Party,0,11,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,44,Sedan - All Perils,20000 to 29000,1,7 years
CLM100000109,EP80820,Jun,1,Thursday,Thursday,Oct,4,Policy Holder,0,1,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,47,Sedan - All Perils,20000 to 29000,1,more than 7
CLM100000110,GU99037,Mar,1,Thursday,Friday,Mar,1,Policy Holder,0,16,more than 30,more than 30,No,No,External,none,no change,Liability,Four-Door Car,Urban,40,Sedan - Liability,20000 to 29000,4,6 years
CLM100000111,WI57118,May,2,Tuesday,Friday,Sep,1,Policy Holder,0,4,more than 30,more than 30,No,No,External,none,no change,Collision,Four-Door Car,Urban,23,Sedan - Collision,20000 to 29000,2,5 years
CLM100000112,YQ74870,May,2,Monday,Thursday,May,2,Policy Holder,0,6,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Urban,31,Sedan - All Perils,20000 to 29000,3,6 years
CLM100000113,MQ14219,Nov,4,Thursday,Thursday,Dec,5,Third Party,0,9,more than 30,more than 30,No,No,External,none,no change,All Perils,SUV,Urban,35,Sedan - All Perils,20000 to 29000,1,6 years
CLM100000114,KN20603,Nov,4,Thursday,Tuesday,Jan,2,Policy Holder,1,10,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Rural,56,Utility - All Perils,more than 69000,2,more than 7
CLM100000115,CR48975,Dec,4,Monday,Wednesday,Jan,1,Third Party,0,2,more than 30,more than 30,No,No,External,more than 5,no change,Collision,Four-Door Car,Urban,50,Sedan - Collision,20000 to 29000,3,more than 7
CLM100000116,JI70886,Dec,2,Tuesday,Wednesday,Jan,2,Third Party,0,2,more than 30,more than 30,No,No,External,3 to 5,no change,Collision,SUV,Urban,16,Sport - Collision,more than 69000,1,4 years
CLM100000117,VF72557,Nov,5,Tuesday,Tuesday,Nov,5,Third Party,0,12,more than 30,more than 30,No,Yes,External,more than 5,no change,Collision,SUV,Urban,32,Sedan - Collision,30000 to 39000,2,7 years
CLM100000118,OX28638,Aug,2,Monday,Tuesday,Aug,5,Policy Holder,0,4,more than 30,more than 30,No,No,External,3 to 5,no change,Liability,Two-Door Car,Urban,28,Sedan - Liability,20000 to 29000,3,6 years
CLM100000119,SK55033,Nov,5,Monday,Wednesday,Dec,1,Policy Holder,1,9,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Urban,68,Sedan - All Perils,20000 to 29000,3,5 years
CLM100000120,OO88645,Dec,1,Friday,Friday,Dec,3,Policy Holder,1,7,more than 30,more than 30,No,No,External,none,no change,All Perils,Four-Door Car,Rural,0,Sedan - All Perils,more than 69000,3,new
CLM100000121,YT36855,Feb,1,Friday,Friday,Mar,3,Policy Holder,0,8,more than 30,more than 30,No,No,External,none,no change,All Perils,Two-Door Car,Rural,0,Sedan - All Perils,more than 69000,3,new
CLM100000122,CW82151,Oct,2,Wednesday,Monday,Oct,3,Third Party,0,12,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Sports Car,Rural,18,Sport - Collision,more than 69000,4,2 years
CLM100000123,DY22043,Jun,3,Monday,Monday,Jun,3,Policy Holder,0,2,more than 30,more than 30,No,No,External,1 to 2,no change,Collision,Two-Door Car,Urban,30,Sedan - Collision,more than 69000,1,6 years
CLM100000124,SH36774,Apr,4,Tuesday,Tuesday,Apr,4,Policy Holder,0,1,more than 30,more than 30,No,No,External,none,no change,Collision,Luxury SUV,Urban,51,Sedan - Collision,20000 to 29000,4,more than 7
CLM100000125,EM43724,Feb,2,Sunday,Monday,Feb,2,Third Party,0,6,more than 30,more than 30,No,No,External,3 to 5,no change,All Perils,Four-Door Car,Urban,22,Sedan - All Perils,30000 to 39000,3,6 years
CLM100000126,FH85960,Feb,2,Saturday,Monday,Feb,2,Policy Holder,0,16,more than 30,more than 30,No,No,External,more than 5,no change,Liability,Four-Door Car,Urban,26,Sedan - Liability,20000 to 29000,4,7 years
